task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	26/471722	-	PIPELINE_INITIALISATION:READ_YAML	COMPLETED	-	2026-02-04 11:37:59.253	44ms	35ms	-	-	-	-	-
2	2c/a7693a	20653.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:KMERS:FASTK_FASTK (DurSul.long.31)	COMPLETED	0	2026-02-04 11:37:59.443	20m 49s	20m 42s	351.5%	33.6 GB	33.7 GB	142.8 GB	145.2 GB
3	92/4f6800	20668.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:KMERS:FASTK_HISTEX (DurSul.long.31)	COMPLETED	0	2026-02-04 11:58:49.554	8.4s	32ms	75.4%	3.4 MB	4.6 MB	354.7 KB	9.4 KB
4	7e/ba7bc7	20669.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:KMERS:GENOMESCOPE2 (DurSul.long.31)	COMPLETED	0	2026-02-04 11:58:58.032	14.9s	7s	534.8%	194.7 MB	16.3 GB	17.4 MB	904.5 KB
8	3c/62f9ce	20673.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:ORGANELLE_ASSEMBLY:MITOHIFI_FINDMITOREFERENCE (Durio zibethinus x Durio gravolens)	FAILED	1	2026-02-04 11:59:13.182	14.8s	9.7s	-	-	-	-	-
5	fd/e80375	20671.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:ORGANELLE_ASSEMBLY:CONCATENATE_INPUT_READS (DurSul)	COMPLETED	0	2026-02-04 11:59:13.109	1m 40s	1m 36s	100.2%	3.5 MB	15.6 MB	22.6 GB	22.6 GB
6	d3/1d45c3	20670.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:ORGANELLE_ASSEMBLY:OATK (DurSul)	COMPLETED	0	2026-02-04 11:59:13.066	10m 30s	10m 26s	226.5%	44.3 GB	48.3 GB	26.4 GB	18.6 MB
7	80/79c9d5	20672.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:RAW_ASSEMBLY:HIFIASM_BIN ()	COMPLETED	0	2026-02-04 11:59:13.143	1h 5m 30s	1h 5m 20s	2600.3%	33.1 GB	34.9 GB	45.2 GB	10.6 GB
9	29/125b0f	20682.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:RAW_ASSEMBLY:HIFIASM (primary)	COMPLETED	0	2026-02-04 13:04:43.587	4m 30s	4m 27s	369.8%	13.9 GB	16.2 GB	22.2 GB	12.7 GB
10	d2/90002d	20697.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:ORGANELLE_ASSEMBLY:CONCATENATE_ASSEMBLIES (primary)	COMPLETED	0	2026-02-04 13:09:13.483	9.7s	7s	98.4%	3.5 MB	15.6 MB	1.6 GB	1.6 GB
15	55/f98dad	20702.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:PURGING:FASTX_MAP_LONG_READS:MINIMAP2_INDEX (primary)	COMPLETED	0	2026-02-04 13:09:13.725	29.5s	26s	151.0%	5.1 GB	5.9 GB	826.8 MB	2.1 GB
12	74/c9265c	20700.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:BGZIP_ASSEMBLIES (primary_hap2)	COMPLETED	0	2026-02-04 13:09:13.634	1m 30s	1m 27s	100.0%	10.4 MB	14.3 MB	768.6 MB	175 MB
