6.0500	0.7095
8.0500	0.7273
10.0500	0.5864
12.0500	0.6298
14.0500	0.8346
16.0500	0.5447
18.0500	0.6718
20.0500	0.8285
22.0500	0.7120
24.0500	0.3949
26.0500	0.3642
28.0500	0.6178
30.0500	0.7647
32.0500	0.8213
34.0500	0.8284
36.0500	0.8068
38.0500	0.7282
40.0500	0.6381
42.0500	0.5266
44.0500	0.3985
46.0500	0.2801
48.0500	0.1646
50.0500	0.0434
52.0500	0.1023
54.0500	0.2209
56.0500	0.2893
58.0500	0.3653
60.0500	0.4301
62.0500	0.4809
64.0500	0.5180
66.0500	0.5524
68.0500	0.5814
70.0500	0.6122
72.0500	0.6343
74.0500	0.6575
76.0500	0.6860
78.0500	0.7126
80.0500	0.7413
82.0500	0.7662
84.0500	0.7928
86.0500	0.8145
88.0500	0.8399
90.0500	0.8672
92.0500	0.8929
94.0500	0.9205
96.0500	0.9446
98.0500	0.9676
48.1000	0.1625
48.3000	0.1537
48.5000	0.1438
48.7000	0.1308
48.9000	0.1199
49.1000	0.1113
49.3000	0.1012
49.5000	0.0612
49.7000	0.0556
49.9000	0.0488
50.1000	0.0442
50.3000	0.0475
50.5000	0.0508
50.7000	0.0540
50.9000	0.0551
51.1000	0.0614
51.3000	0.0709
51.5000	0.0801
51.7000	0.0891
49.8100	0.0520
49.8200	0.0514
49.8300	0.0511
49.8400	0.0509
49.8500	0.0506
49.8600	0.0503
49.8700	0.0496
49.8800	0.0493
49.8900	0.0490
49.9000	0.0488
49.9100	0.0485
49.9200	0.0482
49.9300	0.0480
49.9400	0.0477
49.9500	0.0474
49.9600	0.0472
49.9700	0.0469
49.9800	0.0466
49.9900	0.0464
50.0000	0.0461
50.0100	0.0428
50.0200	0.0429
50.0300	0.0431
50.0400	0.0433
50.0500	0.0434
50.0600	0.0436
50.0700	0.0438
50.0800	0.0439
50.0900	0.0441
50.1000	0.0442
50.1100	0.0444
50.1200	0.0446
50.1300	0.0447
50.1400	0.0449
50.1500	0.0451
50.1600	0.0452
50.1700	0.0454
50.1800	0.0456
25.0050	0.2688
