task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
105	2d/48f513	21420.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:GENOME_STATISTICS:GFASTATS (primary_hap1)	COMPLETED	0	2026-02-06 05:53:30.692	2m 29s	2m 26s	109.1%	915.2 MB	1.1 GB	196.9 MB	199.7 MB
106	0e/f4c5cb	21421.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:GENOME_STATISTICS:GFASTATS (primary_hap2)	COMPLETED	0	2026-02-06 05:53:30.732	2m 39s	2m 35s	109.0%	1.3 GB	1.6 GB	218.2 MB	214.5 MB
99	b5/b25232	21416.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:SCAFFOLDING_YAHS:YAHS_MAKEPAIRSFILE (primary_hap2)	COMPLETED	0	2026-02-06 05:51:45.196	7m 15s	7m 12s	337.7%	31.3 GB	40.3 GB	26 GB	24.3 GB
95	1f/f943b7	21412.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:SCAFFOLDING_YAHS:PAIRS_CREATE_CONTACT_MAPS:COOLER_ZOOMIFY (primary_hap1)	COMPLETED	0	2026-02-06 05:49:15.167	9m 55s	9m 51s	619.6%	24.3 GB	239.1 GB	13.6 GB	13.2 GB
108	ef/df1b18	21425.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:SCAFFOLDING_YAHS:PAIRS_CREATE_CONTACT_MAPS:PRETEXTMAP (primary_hap2)	COMPLETED	0	2026-02-06 05:59:00.306	4m 5s	4m 1s	158.0%	2 GB	3.6 GB	15.2 GB	7.7 GB
110	c6/8469e1	21427.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:SCAFFOLDING_YAHS:PAIRS_CREATE_CONTACT_MAPS:PRETEXTSNAPSHOT (primary_hap2)	COMPLETED	0	2026-02-06 06:03:05.210	4.9s	1s	218.5%	11.5 MB	321.2 MB	232.9 MB	1.2 MB
107	b2/816048	21426.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:SCAFFOLDING_YAHS:PAIRS_CREATE_CONTACT_MAPS:GAWK_PROCESS_PAIRS_FILE (primary_hap2)	COMPLETED	0	2026-02-06 05:59:00.340	4m 40s	4m 36s	131.1%	13 MB	23 MB	16.4 GB	16.5 GB
109	40/724972	21424.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:SCAFFOLDING_YAHS:PAIRS_CREATE_CONTACT_MAPS:COOLER_CLOAD (primary_hap2)	COMPLETED	0	2026-02-06 05:59:00.274	5m 30s	5m 25s	109.1%	3.2 GB	19.7 GB	1.5 GB	541.5 MB
102	a3/27de44	21418.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:GENOME_STATISTICS:MERQURYFK_MERQURYFK (primary)	COMPLETED	0	2026-02-06 05:53:30.616	16m 40s	16m 27s	505.9%	14.5 GB	16.4 GB	239.4 GB	81.6 GB
112	b9/0da2f0	21429.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:SCAFFOLDING_YAHS:PAIRS_CREATE_CONTACT_MAPS:COOLER_ZOOMIFY (primary_hap2)	COMPLETED	0	2026-02-06 06:04:30.257	5m 55s	5m 47s	216.5%	26 GB	239.7 GB	13.4 GB	13.1 GB
104	88/8f06c1	21417.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:GENOME_STATISTICS:BUSCO_BUSCO (primary_hap2)	COMPLETED	0	2026-02-06 05:53:30.552	17m 5s	16m 47s	1451.6%	17.6 GB	297.2 GB	10.4 GB	7.2 GB
101	81/c14f51	21419.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:GENOME_STATISTICS:BUSCO_BUSCO (primary_hap1)	COMPLETED	0	2026-02-06 05:53:30.656	17m 30s	17m 20s	1458.0%	19.2 GB	298.9 GB	9.6 GB	6.8 GB
94	a3/f0d1db	21411.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:SCAFFOLDING_YAHS:PAIRS_CREATE_CONTACT_MAPS:JUICERTOOLS_PRE (primary_hap1)	COMPLETED	0	2026-02-06 05:48:10.279	1h 2m 50s	1h 2m 45s	511.8%	20.9 GB	54.8 GB	295.3 GB	1.1 GB
111	10/91696b	21428.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:SCAFFOLDING_YAHS:PAIRS_CREATE_CONTACT_MAPS:JUICERTOOLS_PRE (primary_hap2)	COMPLETED	0	2026-02-06 06:03:40.273	1h 20m	1h 19m 56s	628.8%	23.3 GB	55.2 GB	690.3 GB	1.1 GB
17	aa/7ea944	21278.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:ORGANELLE_ASSEMBLY:MITOHIFI_MITOHIFI_CONTIGS (primary)	ABORTED	-	2026-02-06 00:27:39.615	-	-	-	-	-	-	-
