task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	85/9e3ed4	-	PIPELINE_INITIALISATION:READ_YAML	COMPLETED	-	2026-02-05 09:53:01.168	63ms	38ms	-	-	-	-	-
2	f4/4f3d9e	21072.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:KMERS:FASTK_FASTK (DurKut.long.31)	COMPLETED	0	2026-02-05 09:53:01.378	20m 33s	20m 26s	324.8%	27.9 GB	33.7 GB	142.7 GB	133.2 GB
3	2b/672430	21085.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:KMERS:FASTK_HISTEX (DurKut.long.31)	COMPLETED	0	2026-02-05 10:13:35.009	9.7s	27ms	101.7%	3.4 MB	4.6 MB	354.7 KB	9.6 KB
4	df/5f53c2	21086.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:KMERS:GENOMESCOPE2 (DurKut.long.31)	COMPLETED	0	2026-02-05 10:13:44.821	9.9s	5.6s	646.7%	117.6 MB	16.3 GB	17.4 MB	884.4 KB
8	06/3f588f	21090.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:ORGANELLE_ASSEMBLY:MITOHIFI_FINDMITOREFERENCE (Durio kutejensis)	COMPLETED	0	2026-02-05 10:13:54.948	25.1s	9.7s	82.0%	51.5 MB	8.2 GB	7.3 MB	1.8 MB
5	73/cdd7e6	21087.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:ORGANELLE_ASSEMBLY:CONCATENATE_INPUT_READS (DurKut)	COMPLETED	0	2026-02-05 10:13:54.824	1m 55s	1m 52s	100.1%	3.5 MB	15.6 MB	25.1 GB	25.1 GB
6	9c/9172e5	21089.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:ORGANELLE_ASSEMBLY:OATK (DurKut)	COMPLETED	0	2026-02-05 10:13:54.905	10m 55s	10m 53s	313.0%	48.8 GB	55.9 GB	32.5 GB	19.9 MB
7	7e/81c078	21088.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:RAW_ASSEMBLY:HIFIASM_BIN ()	ABORTED	-	2026-02-05 10:13:54.865	-	-	-	-	-	-	-
9	f4/33f8c6	21094.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:ORGANELLE_ASSEMBLY:MITOHIFI_MITOHIFI_READS (DurKut)	ABORTED	-	2026-02-05 10:15:49.822	-	-	-	-	-	-	-
