task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
59	86/a0dd0b	21674.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:HIC_MAPPING:CRAMALIGN_BWAMEM2ALIGNHIC (DurGra_Og.cram.asm_hap1.6)	COMPLETED	0	2026-02-10 15:55:17.511	50m 15s	50m 10s	1583.8%	24.6 GB	32.9 GB	186.9 GB	188.5 GB
54	52/10412f	21665.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:HIC_MAPPING:CRAMALIGN_BWAMEM2ALIGNHIC (DurGra_Og.cram.asm_hap1.1)	COMPLETED	0	2026-02-10 15:55:17.232	50m 30s	50m 25s	1571.5%	24.6 GB	33 GB	186.4 GB	187.9 GB
64	0e/6d8cc8	21685.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:HIC_MAPPING:CRAMALIGN_BWAMEM2ALIGNHIC (DurGra_Og.cram.asm_hap2.0)	COMPLETED	0	2026-02-10 16:07:37.435	49m 45s	49m 41s	1576.1%	35.8 GB	44.4 GB	203.3 GB	197.9 GB
66	25/8d2aef	21675.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:HIC_MAPPING:CRAMALIGN_BWAMEM2ALIGNHIC (DurGra_Og.cram.asm_hap2.2)	COMPLETED	0	2026-02-10 16:07:37.080	50m 5s	50m	1572.5%	35.8 GB	44 GB	203.2 GB	197.8 GB
69	19/a4822d	21684.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:HIC_MAPPING:CRAMALIGN_BWAMEM2ALIGNHIC (DurGra_Og.cram.asm_hap2.5)	COMPLETED	0	2026-02-10 16:07:37.403	53m 35s	53m 31s	1563.4%	36 GB	44.5 GB	203.6 GB	198.3 GB
65	42/9d9add	21676.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:HIC_MAPPING:CRAMALIGN_BWAMEM2ALIGNHIC (DurGra_Og.cram.asm_hap2.1)	COMPLETED	0	2026-02-10 16:07:37.114	55m 55s	55m 49s	1562.4%	35.9 GB	44.5 GB	203.5 GB	198.1 GB
68	b1/66cd78	21683.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:HIC_MAPPING:CRAMALIGN_BWAMEM2ALIGNHIC (DurGra_Og.cram.asm_hap2.4)	COMPLETED	0	2026-02-10 16:07:37.370	57m 30s	57m 25s	1571.7%	36.1 GB	44.5 GB	203.3 GB	197.9 GB
67	6a/ec84b0	21677.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:HIC_MAPPING:CRAMALIGN_BWAMEM2ALIGNHIC (DurGra_Og.cram.asm_hap2.3)	COMPLETED	0	2026-02-10 16:07:37.158	59m 5s	59m 3s	1570.9%	36.2 GB	44.7 GB	203.2 GB	197.8 GB
72	d6/d3610a	21680.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:HIC_MAPPING:CRAMALIGN_BWAMEM2ALIGNHIC (DurGra_Og.cram.asm_hap2.8)	COMPLETED	0	2026-02-10 16:07:37.262	59m 30s	59m 26s	1574.8%	36 GB	44.6 GB	203.7 GB	198.5 GB
71	9b/182d55	21679.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:HIC_MAPPING:CRAMALIGN_BWAMEM2ALIGNHIC (DurGra_Og.cram.asm_hap2.7)	COMPLETED	0	2026-02-10 16:07:37.229	1h 10s	1h 8s	1572.9%	36.1 GB	44.9 GB	203.8 GB	198.5 GB
70	67/bbff76	21678.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:HIC_MAPPING:CRAMALIGN_BWAMEM2ALIGNHIC (DurGra_Og.cram.asm_hap2.6)	COMPLETED	0	2026-02-10 16:07:37.190	1h 1m 10s	1h 1m 7s	1570.9%	36.1 GB	44.6 GB	203.9 GB	198.7 GB
73	e5/78cdf1	21681.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:HIC_MAPPING:CRAMALIGN_BWAMEM2ALIGNHIC (DurGra_Og.cram.asm_hap2.9)	COMPLETED	0	2026-02-10 16:07:37.298	1h 3m 10s	1h 3m 5s	1568.9%	36.4 GB	45 GB	203.8 GB	198.6 GB
74	30/e2d339	21682.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:HIC_MAPPING:CRAMALIGN_BWAMEM2ALIGNHIC (DurGra_Og.cram.asm_hap2.10)	COMPLETED	0	2026-02-10 16:07:37.333	1h 3m 35s	1h 3m 30s	1567.2%	36.3 GB	44.9 GB	198 GB	192.8 GB
75	51/9e9d4a	21694.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:HIC_MAPPING:BAM_SAMTOOLS_MERGE_MARKDUP:SAMTOOLS_MERGEDUP (primary_hap1)	COMPLETED	0	2026-02-10 16:45:47.482	3h 1m	3h 54s	205.7%	1 GB	1.5 GB	186.7 GB	161.4 GB
79	99/6669d5	22101.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:HIC_MAPPING_STATS:SAMTOOLS_IDXSTATS (primary_hap1)	COMPLETED	0	2026-02-10 19:46:48.396	9.3s	4s	1.8%	4.8 MB	10.4 MB	1.9 MB	14.7 KB
80	61/30923c	22100.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:HIC_MAPPING_STATS:SAMTOOLS_FLAGSTAT (primary_hap1)	COMPLETED	0	2026-02-10 19:46:48.364	9m 54s	9m 47s	146.9%	7.2 MB	208.4 MB	81.1 GB	5.5 KB
77	05/a0ce89	22103.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:SCAFFOLDING_YAHS:BEDTOOLS_BAMTOBEDSORT (primary_hap1)	COMPLETED	0	2026-02-10 19:46:48.462	21m 4s	21m 1s	274.7%	33.7 GB	36.8 GB	261.9 GB	209 GB
81	3b/795d28	22165.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:SCAFFOLDING_YAHS:YAHS (primary_hap1)	COMPLETED	0	2026-02-10 20:07:53.064	9m 5s	9m 3s	98.3%	3.6 GB	4.8 GB	111.1 GB	2.8 GB
82	92/f9b903	22340.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:SCAFFOLDING_YAHS:SAMTOOLS_FAIDX_SCAFFOLDS (asm_hap1_scaffolds_final.fa)	COMPLETED	0	2026-02-10 20:16:58.170	4.6s	3s	87.1%	6.1 MB	10.7 MB	684.4 MB	22.9 KB
76	6b/cc64d1	21733.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:HIC_MAPPING:BAM_SAMTOOLS_MERGE_MARKDUP:SAMTOOLS_MERGEDUP (primary_hap2)	COMPLETED	0	2026-02-10 17:11:12.476	3h 8m 5s	3h 7m 59s	202.8%	770.9 MB	1.2 GB	204.2 GB	173.8 GB
86	19/1e2ba2	22375.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:HIC_MAPPING_STATS:SAMTOOLS_IDXSTATS (primary_hap2)	COMPLETED	0	2026-02-10 20:19:17.968	4.9s	0ms	104.0%	19.7 MB	24.9 MB	3.9 MB	76.9 KB
83	2f/a4ea92	22341.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:SCAFFOLDING_YAHS:YAHS_MAKEPAIRSFILE (primary_hap1)	COMPLETED	0	2026-02-10 20:17:02.949	5m 30s	5m 24s	327.6%	23.4 GB	40.3 GB	19.4 GB	18.1 GB
88	ee/14b6e1	22400.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:SCAFFOLDING_YAHS:PAIRS_CREATE_CONTACT_MAPS:GAWK_PROCESS_PAIRS_FILE (primary_hap1)	COMPLETED	0	2026-02-10 20:22:32.971	3m 25s	3m 19s	130.7%	13 MB	23 MB	12.2 GB	12.3 GB
89	c2/79b3ae	22398.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:SCAFFOLDING_YAHS:PAIRS_CREATE_CONTACT_MAPS:PRETEXTMAP (primary_hap1)	COMPLETED	0	2026-02-10 20:22:32.901	4m 5s	4m 1s	167.3%	2.1 GB	3.6 GB	11.4 GB	5.8 GB
