task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
30	64/1ef772	20728.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:PURGING:PURGEDUPS_HISTPLOT (primary)	COMPLETED	0	2026-02-04 13:52:02.948	14.9s	1s	2562.2%	98.8 MB	16.5 GB	20.8 MB	112.9 KB
31	7a/2a0836	20727.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:PURGING:PURGEDUPS_PURGEDUPS (primary)	COMPLETED	0	2026-02-04 13:52:02.906	39.9s	29s	100.1%	993.9 MB	1.9 GB	5.2 GB	322.8 KB
32	0b/192143	20736.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:PURGING:PURGEDUPS_GETSEQS (primary)	COMPLETED	0	2026-02-04 13:52:42.912	9.9s	3s	96.7%	53.3 MB	83.3 MB	825.4 MB	825.3 MB
34	1d/41e31d	20738.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:PURGING:CONCATENATE_HAPLOTYPES (primary)	COMPLETED	0	2026-02-04 13:52:52.957	9.9s	5s	98.5%	3.5 MB	15.6 MB	913.9 MB	913.8 MB
33	4e/948f44	20737.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:BGZIP_HAPLOTIGS (primary)	COMPLETED	0	2026-02-04 13:52:52.917	9.9s	6.1s	99.6%	10.1 MB	14.3 MB	122.4 MB	16 MB
45	ac/525a20	-	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:HIC_MAPPING:CRAMALIGN_GENCRAMCHUNKS (1)	COMPLETED	-	2026-02-04 13:53:02.879	253ms	156ms	-	-	-	-	-
46	4d/107fd6	-	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:HIC_MAPPING:CRAMALIGN_GENCRAMCHUNKS (2)	COMPLETED	-	2026-02-04 13:53:02.881	252ms	155ms	-	-	-	-	-
38	a1/9e8f44	20741.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:SCAFFOLDING_YAHS:SAMTOOLS_FAIDX_CONTIGS (asm.htigs.all.fa)	COMPLETED	0	2026-02-04 13:53:02.981	4.9s	2s	100.7%	6.1 MB	10.7 MB	914 MB	48.3 KB
42	52/2dd49d	20742.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:SCAFFOLDING_YAHS:SAMTOOLS_FAIDX_CONTIGS (asm.purged.fa)	COMPLETED	0	2026-02-04 13:53:03.014	4.8s	2s	100.9%	6.1 MB	10.7 MB	703.1 MB	18.4 KB
39	89/31f34e	20743.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:HIC_MAPPING:BAM_SAMTOOLS_MERGE_MARKDUP:SAMTOOLS_FAIDX (primary_hap2)	COMPLETED	0	2026-02-04 13:53:03.053	4.8s	3s	100.3%	6.1 MB	10.7 MB	914 MB	48.3 KB
