6.0500	0.6779
8.0500	0.7584
10.0500	0.4309
12.0500	0.8063
14.0500	0.7773
16.0500	0.6267
18.0500	0.3289
20.0500	0.1787
22.0500	0.3683
24.0500	0.5170
26.0500	0.5987
28.0500	0.6664
30.0500	0.7177
32.0500	0.7743
34.0500	0.8332
36.0500	0.8830
38.0500	0.9316
40.0500	1.0120
42.0500	1.0201
44.0500	1.0648
46.0500	1.1111
48.0500	1.1500
50.0500	1.1880
52.0500	1.2220
54.0500	1.2533
56.0500	1.2823
58.0500	1.3041
60.0500	1.3292
62.0500	1.3515
64.0500	1.3746
66.0500	1.3934
68.0500	1.4156
70.0500	1.4313
72.0500	1.4476
74.0500	1.4581
76.0500	1.4731
78.0500	1.4876
80.0500	1.5015
82.0500	1.5148
84.0500	1.5258
86.0500	1.5368
88.0500	1.5474
90.0500	1.5562
92.0500	1.5661
94.0500	1.5774
96.0500	1.5862
98.0500	1.5925
18.1000	0.3248
18.3000	0.3054
18.5000	0.2761
18.7000	0.2439
18.9000	0.2113
19.1000	0.2045
19.3000	0.1911
19.5000	0.1794
19.7000	0.1756
19.9000	0.1858
20.1000	0.1842
20.3000	0.2051
20.5000	0.2195
20.7000	0.2365
20.9000	0.2542
21.1000	0.2755
21.3000	0.2835
21.5000	0.3321
21.7000	0.3407
18.8100	0.2211
18.8200	0.2203
18.8300	0.2192
18.8400	0.2184
18.8500	0.2175
18.8600	0.2170
18.8700	0.2162
18.8800	0.2153
18.8900	0.2122
18.9000	0.2113
18.9100	0.2106
18.9200	0.2098
18.9300	0.2087
18.9400	0.2079
18.9500	0.2071
18.9600	0.2063
18.9700	0.2057
18.9800	0.2049
18.9900	0.2041
19.0000	0.2033
19.0100	0.2034
19.0200	0.2035
19.0300	0.2037
19.0400	0.2038
19.0500	0.2038
19.0600	0.2039
19.0700	0.2041
19.0800	0.2041
19.0900	0.2042
19.1000	0.2045
19.1100	0.2047
19.1200	0.2036
19.1300	0.2037
19.1400	0.2038
19.1500	0.2043
19.1600	0.2043
19.1700	0.2045
19.1800	0.2046
19.1900	0.2047
9.5000	0.4689
