6.0500	0.7387
8.0500	0.8033
10.0500	0.5747
12.0500	0.7653
14.0500	0.3173
16.0500	0.6325
18.0500	0.8607
20.0500	0.7974
22.0500	0.6907
24.0500	0.5087
26.0500	0.2983
28.0500	0.1122
30.0500	0.1544
32.0500	0.2903
34.0500	0.4065
36.0500	0.4987
38.0500	0.5714
40.0500	0.6195
42.0500	0.6665
44.0500	0.7142
46.0500	0.7629
48.0500	0.8051
50.0500	0.8461
52.0500	0.8990
54.0500	0.9410
56.0500	0.9812
58.0500	1.0149
60.0500	1.0462
62.0500	1.0749
64.0500	1.1039
66.0500	1.1095
68.0500	1.1360
70.0500	1.1634
72.0500	1.1882
74.0500	1.2123
76.0500	1.2354
78.0500	1.2561
80.0500	1.2754
82.0500	1.2949
84.0500	1.3121
86.0500	1.3279
88.0500	1.3444
90.0500	1.3589
92.0500	1.3752
94.0500	1.3888
96.0500	1.4024
98.0500	1.4151
26.1000	0.2950
26.3000	0.2807
26.5000	0.2596
26.7000	0.2355
26.9000	0.2179
27.1000	0.2040
27.3000	0.1833
27.5000	0.1607
27.7000	0.1409
27.9000	0.1269
28.1000	0.1115
28.3000	0.1085
28.5000	0.1019
28.7000	0.0967
28.9000	0.0874
29.1000	0.0948
29.3000	0.1063
29.5000	0.1170
29.7000	0.1295
27.8100	0.1331
27.8200	0.1323
27.8300	0.1316
27.8400	0.1309
27.8500	0.1303
27.8600	0.1296
27.8700	0.1289
27.8800	0.1283
27.8900	0.1276
27.9000	0.1269
27.9100	0.1263
27.9200	0.1256
27.9300	0.1249
27.9400	0.1243
27.9500	0.1236
27.9600	0.1229
27.9700	0.1223
27.9800	0.1216
27.9900	0.1210
28.0000	0.1128
28.0100	0.1127
28.0200	0.1126
28.0300	0.1124
28.0400	0.1123
28.0500	0.1122
28.0600	0.1121
28.0700	0.1119
28.0800	0.1118
28.0900	0.1117
28.1000	0.1115
28.1100	0.1114
28.1200	0.1113
28.1300	0.1112
28.1400	0.1111
28.1500	0.1110
28.1600	0.1108
28.1700	0.1107
28.1800	0.1106
28.1900	0.1105
14.0950	0.3156
