task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
52	f6/ab36f2	-	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:HIC_MAPPING:CRAMALIGN_GENCRAMCHUNKS (1)	COMPLETED	-	2026-02-05 06:50:17.248	280ms	267ms	-	-	-	-	-
49	f6/eb83ff	21031.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:SCAFFOLDING_YAHS:SAMTOOLS_FAIDX_CONTIGS (asm.htigs.all.fa)	COMPLETED	0	2026-02-05 06:50:17.438	4.8s	3s	100.5%	6.1 MB	10.7 MB	728 MB	28.6 KB
46	f6/4c91b8	21032.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:HIC_MAPPING:BAM_SAMTOOLS_MERGE_MARKDUP:SAMTOOLS_FAIDX (primary_hap1)	COMPLETED	0	2026-02-05 06:50:17.475	4.7s	2s	100.4%	6.1 MB	10.7 MB	703.1 MB	18.9 KB
50	af/736622	21034.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:HIC_MAPPING:SAMTOOLS_SPLITHEADER (DurDul.cram)	COMPLETED	0	2026-02-05 06:50:17.545	4.7s	0ms	101.4%	3.1 MB	4.3 MB	289.1 KB	7.6 KB
51	de/ed8776	21035.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:HIC_MAPPING:SAMTOOLS_SPLITHEADER (DurDul.cram)	COMPLETED	0	2026-02-05 06:50:17.581	4.6s	0ms	86.4%	3.1 MB	4.3 MB	289.1 KB	7.6 KB
48	cc/24ed36	21036.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:HIC_MAPPING:BAM_SAMTOOLS_MERGE_MARKDUP:SAMTOOLS_FAIDX (primary_hap2)	COMPLETED	0	2026-02-05 06:50:17.618	4.6s	3s	100.9%	6.1 MB	10.7 MB	728 MB	28.6 KB
45	35/289c6b	21033.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:SCAFFOLDING_YAHS:SAMTOOLS_FAIDX_CONTIGS (asm.purged.fa)	COMPLETED	0	2026-02-05 06:50:17.509	4.7s	2s	100.2%	6.1 MB	10.7 MB	703.1 MB	18.9 KB
43	9a/094a8c	21028.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:BGZIP_ASSEMBLIES (primary_hap2)	COMPLETED	0	2026-02-05 06:50:17.306	1m 25s	1m 21s	100.0%	10.2 MB	14.3 MB	728 MB	170.9 MB
42	90/cdb8ba	21027.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:BGZIP_ASSEMBLIES (primary_hap1)	COMPLETED	0	2026-02-05 06:50:17.268	1m 25s	1m 21s	100.0%	10.1 MB	14.3 MB	703.1 MB	170.1 MB
58	4c/949590	21037.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:GENOME_STATISTICS:ASMSTATS (primary_hap2)	COMPLETED	0	2026-02-05 06:51:42.286	9.9s	6.4s	98.8%	47.2 MB	82.7 MB	171.2 MB	35.7 KB
56	8c/4c98c9	21038.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:GENOME_STATISTICS:ASMSTATS (primary_hap1)	COMPLETED	0	2026-02-05 06:51:42.328	9.9s	6.3s	98.1%	48.3 MB	82.4 MB	170.4 MB	21.8 KB
60	c1/af388f	21042.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:GENOME_STATISTICS:GFASTATS (primary_hap2)	COMPLETED	0	2026-02-05 06:51:42.478	2m 20s	2m 15s	108.5%	891 MB	1.2 GB	171 MB	187.1 MB
55	66/fe4218	21043.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:GENOME_STATISTICS:GFASTATS (primary_hap1)	COMPLETED	0	2026-02-05 06:51:42.511	2m 20s	2m 14s	108.2%	924.6 MB	1.2 GB	170.2 MB	186.5 MB
44	fd/c7f7c5	21029.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:HIC_MAPPING:BWAMEM2_INDEX (primary)	COMPLETED	0	2026-02-05 06:50:17.339	4m 50s	4m 44s	99.2%	16.5 GB	17 GB	878.8 MB	3.8 GB
47	8e/8115ec	21030.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:HIC_MAPPING:BWAMEM2_INDEX (primary)	COMPLETED	0	2026-02-05 06:50:17.400	5m	4m 56s	99.2%	17.1 GB	17.5 GB	910 MB	3.9 GB
59	92/f7e2a7	21039.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:GENOME_STATISTICS:BUSCO_BUSCO (primary_hap2)	COMPLETED	0	2026-02-05 06:51:42.366	14m 20s	14m 10s	1455.1%	7.1 GB	287.9 GB	9.1 GB	6.4 GB
