id,sample,library,fq1,fq2
DurKut,DurKut,D_Pula_Omnic_DKDL230002205-1A_H2K7TDSX7_L1,hi-c/D_Pula_Omnic_DKDL230002205-1A_H2K7TDSX7_L1_1.fq.gz,hi-c/D_Pula_Omnic_DKDL230002205-1A_H2K7TDSX7_L1_2.fq.gz
DurGra_Og,DurGra_Og,D_grav_orang_omc_DKDL230002206-1A_H2K7TDSX7,hi-c/D_grav_orang_omc_DKDL230002206-1A_H2K7TDSX7_L1_1.fq.gz,hi-c/D_grav_orang_omc_DKDL230002206-1A_H2K7TDSX7_L1_2.fq.gz
